CustomerID,Lookalikes
C0001,"[('C0091', 0.9988737352721774), ('C0107', 0.9982543170667686), ('C0189', 0.9967110383001389)]"
C0002,"[('C0178', 0.9802850152562138), ('C0159', 0.9791555792425952), ('C0128', 0.9326125775828845)]"
C0003,"[('C0133', 0.9994386071397807), ('C0031', 0.9892986955963929), ('C0052', 0.9841539384713909)]"
C0004,"[('C0153', 0.9361856481532838), ('C0126', 0.9315023445108772), ('C0169', 0.9304606605921413)]"
C0005,"[('C0185', 0.9983288413784348), ('C0007', 0.9924827295387698), ('C0140', 0.9861721591404483)]"
C0006,"[('C0186', 0.9695821731053809), ('C0011', 0.9654567337555366), ('C0171', 0.9500360168073778)]"
C0007,"[('C0005', 0.9924827295387698), ('C0115', 0.9912541103696744), ('C0185', 0.9837516867235238)]"
C0008,"[('C0193', 0.9298659040797974), ('C0024', 0.9266235575874308), ('C0122', 0.9184667020927529)]"
C0009,"[('C0010', 0.9823947592353317), ('C0062', 0.982354257545044), ('C0061', 0.9799847480957955)]"
C0010,"[('C0111', 0.9868346284823106), ('C0061', 0.985345368737175), ('C0167', 0.982591374414441)]"
C0011,"[('C0137', 0.9941885694667052), ('C0190', 0.9804406153292393), ('C0174', 0.9744928078807945)]"
C0012,"[('C0113', 0.9821148283499381), ('C0163', 0.9799277723492114), ('C0194', 0.9714921337492243)]"
C0013,"[('C0099', 0.9890771714880847), ('C0108', 0.9820099327815442), ('C0145', 0.7469517788528977)]"
C0014,"[('C0060', 0.9995296142540366), ('C0089', 0.9402471782353042), ('C0166', 0.8757456700226313)]"
C0015,"[('C0131', 0.981405294414095), ('C0094', 0.947769845794095), ('C0125', 0.8890580646811651)]"
C0016,"[('C0182', 0.9999881307847407), ('C0072', 0.9844131963307685), ('C0026', 0.982707809405593)]"
C0017,"[('C0041', 0.9476684218377843), ('C0057', 0.9406020091940642), ('C0064', 0.8409413132650868)]"
C0018,"[('C0125', 0.8911063583786535), ('C0047', 0.8331457038420937), ('C0139', 0.8237225287737051)]"
C0019,"[('C0121', 0.8959094263514528), ('C0070', 0.8900464967211905), ('C0135', 0.8894886297043045)]"
C0020,"[('C0050', 0.9119366909094684), ('C0035', 0.8861653987441873), ('C0157', 0.8336211308735294)]"
